tick,ainur,primary,conservative,majority
100,1.251818182,1.148026316,0.976234732,1.206681351
200,1.244137763,1.159325211,0.920355002,1.227893691
300,1.227032176,1.225989382,0.893788525,1.184849199
400,1.249185289,1.17603211,0.934604586,1.235094851
500,1.257254464,1.148248643,0.948952176,1.207561342
600,1.27244186,1.107657225,0.892924307,1.179709141
700,1.228772441,1.080433686,0.983647175,1.178839831
800,1.250334971,1.096899225,0.914236111,1.191479615
900,1.217440288,1.136492221,0.839873418,1.197748815
1000,1.2578125,1.154064039,0.91621754,1.193560058
1100,1.23489787,1.136029412,0.887915743,1.229692761
1200,1.248563218,1.089985829,0.821713147,1.215081893
1300,1.200135685,1.152528355,0.904345654,1.184635173
1400,1.278827038,1.162801484,0.970161674,1.201014415
1500,1.247978116,1.156116643,0.88956905,1.183357177
1600,1.252408994,1.173095014,0.908516612,1.219056974
1700,1.25103022,1.12455397,0.849554409,1.240629505
1800,1.22104485,1.189667291,1.000948767,1.183414044
1900,1.257459313,1.126192748,0.890495868,1.169757666
2000,1.292590028,1.218559362,0.920084866,1.182495345
