tick,ainur,primary,conservative,majority
100,1.52267658,1.538288288,1.459634703,1.538758621
200,1.55648742,1.526477431,1.369129412,1.594192037
300,1.527192118,1.498418278,1.364684186,1.587841072
400,1.544541261,1.583800905,1.381376147,1.461580882
500,1.490434783,1.567885238,1.369798328,1.520357311
600,1.521117424,1.534809822,1.266965085,1.557889546
700,1.569976905,1.49619666,1.269131238,1.530400395
800,1.53049579,1.467192982,1.334041477,1.550576923
900,1.582531527,1.563027656,1.322926375,1.570480769
1000,1.491896786,1.478732597,1.322517207,1.52863109
1100,1.493688007,1.498053418,1.417058824,1.613359528
1200,1.504218822,1.436476783,1.382424812,1.500449775
1300,1.540450026,1.528818444,1.444821265,1.523762376
1400,1.539419476,1.585908877,1.376850984,1.545723242
1500,1.55056281,1.500329102,1.308748728,1.583842011
1600,1.579452055,1.494888476,1.403272377,1.6092062
1700,1.493252769,1.468016567,1.288416793,1.552188552
1800,1.548223801,1.414903404,1.399280252,1.576429637
1900,1.556571429,1.472239331,1.35559667,1.603017833
2000,1.565619546,1.469085768,1.473373373,1.493062438
