tick,ainur,primary,conservative,majority
100,1.284322679,1.228080995,1.153621436,1.31971972
200,1.322712418,1.286590419,1.132671576,1.367016206
300,1.34965358,1.286132813,1.077113588,1.291480773
400,1.359095091,1.259116878,1.095333333,1.316495066
500,1.34950495,1.32950375,1.092857509,1.22034605
600,1.336222338,1.269775235,1.155744591,1.371360108
700,1.375230275,1.273948274,1.121135428,1.239272652
800,1.279119954,1.235919403,1.136020977,1.325530437
900,1.349798224,1.259503613,1.135444288,1.306181494
1000,1.364068441,1.274351556,1.136516972,1.35372549
1100,1.354049924,1.137141233,1.120164609,1.289610724
1200,1.359452142,1.27005577,1.118613621,1.318003914
1300,1.315826905,1.182949754,1.145032883,1.279902854
1400,1.281946571,1.251247581,1.105151958,1.313140492
1500,1.326157526,1.224751143,1.06466214,1.385681771
1600,1.352764858,1.245680176,1.151850192,1.343756931
1700,1.336883209,1.298688684,1.132264416,1.282432656
1800,1.339898538,1.26966967,1.115852695,1.329463285
1900,1.323638344,1.28005672,1.185462876,1.2755141
2000,1.337824832,1.22969697,1.117682493,1.324135744
