tick,ainur,primary,conservative,majority
1,1.24,1.11,1.01,0.9
2,1.26,1.12,1.02,0.89
3,1.25,1.11,1.01,0.9
4,1.25,1.11,1.01,0.9
5,1.25,1.11,1.01,0.9
6,1.25,1.11,1.01,0.9
7,1.25,1.11,1.01,0.9
8,1.25,1.11,1.01,0.9
9,1.25,1.11,1.01,0.9
10,1.25,1.11,1.01,0.9
11,1.25,1.11,1.01,0.9
12,1.25,1.11,1.01,0.9
13,1.25,1.11,1.01,0.9
14,1.25,1.11,1.01,0.9
15,1.25,1.11,1.01,0.9
16,1.25,1.11,1.01,0.9
17,1.25,1.11,1.01,0.9
18,1.25,1.11,1.01,0.9
19,1.25,1.11,1.01,0.9
20,1.25,1.11,1.01,0.9
21,1.25,1.11,1.01,0.9
22,1.25,1.11,1.01,0.9
23,1.25,1.11,1.01,0.9
24,1.25,1.11,1.01,0.9
25,1.25,1.11,1.01,0.9
26,1.25,1.11,1.01,0.9
27,1.25,1.11,1.01,0.9
28,1.25,1.11,1.01,0.9
29,1.25,1.11,1.01,0.9
30,1.25,1.11,1.01,0.9
31,1.25,1.11,1.01,0.9
32,1.25,1.11,1.01,0.9
33,1.25,1.11,1.01,0.9
34,1.25,1.11,1.01,0.9
35,1.25,1.11,1.01,0.9
36,1.25,1.11,1.01,0.9
37,1.25,1.11,1.01,0.9
38,1.25,1.11,1.01,0.9
39,1.25,1.11,1.01,0.9
40,1.25,1.11,1.01,0.9
41,1.25,1.11,1.01,0.9
42,1.25,1.11,1.01,0.9
43,1.25,1.11,1.01,0.9
44,1.25,1.11,1.01,0.9
45,1.25,1.11,1.01,0.9
46,1.25,1.11,1.01,0.9
47,1.25,1.11,1.01,0.9
48,1.25,1.11,1.01,0.9
49,1.25,1.11,1.01,0.9
50,1.25,1.11,1.01,0.9
51,1.25,1.11,1.01,0.9
52,1.25,1.11,1.01,0.9
53,1.25,1.11,1.01,0.9
54,1.25,1.11,1.01,0.9
55,1.25,1.11,1.01,0.9
56,1.25,1.11,1.01,0.9
57,1.25,1.11,1.01,0.9
58,1.25,1.11,1.01,0.9
59,1.25,1.11,1.01,0.9
60,1.25,1.11,1.01,0.9
61,1.25,1.11,1.01,0.9
62,1.25,1.11,1.01,0.9
63,1.25,1.11,1.01,0.9
64,1.25,1.11,1.01,0.9
65,1.25,1.11,1.01,0.9
66,1.25,1.11,1.01,0.9
67,1.25,1.11,1.01,0.9
68,1.25,1.11,1.01,0.9
69,1.25,1.11,1.01,0.9
70,1.25,1.11,1.01,0.9
71,1.25,1.11,1.01,0.9
72,1.25,1.11,1.01,0.9
73,1.25,1.11,1.01,0.9
74,1.25,1.11,1.01,0.9
75,1.25,1.11,1.01,0.9
76,1.25,1.11,1.01,0.9
77,1.25,1.11,1.01,0.9
