tick,ainur,primary,conservative,majority
100,1.186669829,1.151643306,0.820980203,1.180257511
200,1.260976179,1.128439279,0.866134335,1.152470187
300,1.259153318,1.106128727,0.892838336,1.179956897
400,1.256311993,1.116429207,0.764786795,1.165741188
500,1.269315189,1.110687023,0.865421456,1.197732997
600,1.248834197,1.122180451,0.841092099,1.24725
700,1.279557762,1.139937859,0.902986776,1.17621405
800,1.229696064,1.127920839,0.901359733,1.167
900,1.230527638,1.147970562,0.852117486,1.145464853
1000,1.266725798,1.112416107,0.817149758,1.158570119
1100,1.205406654,1.138888889,0.885687732,1.182307307
1200,1.22638277,1.111611265,0.870766698,1.175733107
1300,1.203566466,1.213463346,0.853069116,1.174883178
1400,1.257007126,1.078341014,0.934740677,1.156354515
1500,1.244110577,1.069615385,0.820867959,1.166069601
1600,1.26742532,1.08104463,0.880220285,1.204806313
1700,1.222663776,1.141491841,0.867201627,1.193138651
1800,1.238191794,1.187287312,0.943987788,1.190617577
1900,1.259033318,1.150362319,0.872488976,1.188180957
2000,1.250466853,1.160909957,0.876320845,1.153931204
