tick,ainur,primary,conservative,majority
100,1.329251986,1.197479475,1.102535764,1.364987331
200,1.416083608,1.260204027,1.132895593,1.30176299
300,1.358587996,1.253673436,1.115348399,1.327940549
400,1.41099537,1.27400247,1.120122957,1.319115713
500,1.345511319,1.333279561,1.153763845,1.310409745
600,1.354395852,1.295546144,1.161674143,1.318740342
700,1.34168858,1.298956542,1.120429145,1.329854331
800,1.284025796,1.392826111,1.157358697,1.362266379
900,1.429982322,1.297469346,1.101461087,1.351074074
1000,1.398949639,1.359716588,1.124164271,1.317490295
1100,1.389825218,1.285478496,1.033964317,1.314206274
1200,1.35743925,1.237844531,1.104484146,1.299850961
1300,1.333376107,1.273950333,1.13880505,1.384392295
1400,1.424642838,1.252063255,1.101978726,1.357507202
1500,1.326492498,1.309592525,1.136408596,1.376959009
1600,1.354750551,1.25244784,1.043986179,1.404835994
1700,1.331271741,1.264031133,1.144685219,1.394807356
1800,1.326779679,1.376719459,1.166303266,1.362762015
1900,1.44860912,1.302024573,1.070767902,1.335025915
2000,1.367589018,1.248762363,1.122416563,1.305944444
